,administrative_area_level_1,country,administrative_area_level_2
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Chaudière-Appalaches
0,Quebec,Canada,Estrie
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Capitale-Nationale
0,Quebec,Canada,Estrie
0,Quebec,Canada,Côte-Nord
0,Quebec,Canada,Estrie
0,Quebec,Canada,Estrie
0,Quebec,Canada,Capitale-Nationale
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Capitale-Nationale
0,Quebec,Canada,Outaouais
0,Quebec,Canada,Bas-Saint-Laurent
0,Quebec,Canada,Estrie
0,Quebec,Canada,Estrie
0,Quebec,Canada,Outaouais
0,Quebec,Canada,Abitibi-Témiscamingue
0,Quebec,Canada,Lanaudière
0,Quebec,Canada,Chaudière-Appalaches
0,Quebec,Canada,Capitale-Nationale
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Mauricie
0,Quebec,Canada,Capitale-Nationale
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Bas-Saint-Laurent
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Laurentides
0,Quebec,Canada,Saguenay--Lac-Saint-Jean
0,Quebec,Canada,Lanaudière
0,Quebec,Canada,Outaouais
0,Quebec,Canada,Outaouais
0,Ontario,Canada,Renfrew County
0,Ontario,Canada,Regional Municipality of Halton
0,Ontario,Canada,Grey County
0,Ontario,Canada,Simcoe County
0,Ontario,Canada,Grey County
0,Ontario,Canada,Regional Municipality of Peel
0,Ontario,Canada,Regional Municipality of Durham
0,Ontario,Canada,Lanark County
0,Ontario,Canada,Cochrane District
0,Ontario,Canada,Greater Sudbury
0,Ontario,Canada,Regional Municipality of Durham
0,Ontario,Canada,Simcoe County
0,Ontario,Canada,Dufferin County
0,Ontario,Canada,Toronto
0,Ontario,Canada,Middlesex County
0,Ontario,Canada,Dufferin County
0,Ontario,Canada,Algoma District
0,Ontario,Canada,Algoma District
0,Ontario,Canada,Grey County
0,Ontario,Canada,Timiskaming District
0,Ontario,Canada,Simcoe County
0,Ontario,Canada,Simcoe County
0,Ontario,Canada,Renfrew County
0,Ontario,Canada,Grey County
0,Ontario,Canada,Simcoe County
0,Ontario,Canada,Muskoka District Municipality
0,Ontario,Canada,Thunder Bay District
0,Ontario,Canada,Thunder Bay District
0,Ontario,Canada,Regional Municipality of Durham
0,Ontario,Canada,Algoma District
0,Ontario,Canada,Oxford County
0,Ontario,Canada,Renfrew County
0,Ontario,Canada,Kawartha Lakes
0,Ontario,Canada,Bruce County
0,Ontario,Canada,Regional Municipality of Durham
0,Ontario,Canada,Haliburton County
0,Wyoming,United States,Sublette County
0,Wyoming,United States,Washakie County
0,Wyoming,United States,Teton County
0,Wyoming,United States,Teton County
0,Wyoming,United States,Natrona County
0,Wyoming,United States,Big Horn County
0,Wyoming,United States,Park County
0,Wyoming,United States,Albany County
0,Wyoming,United States,Teton County
0,Wisconsin,United States,Waushara County
0,Wisconsin,United States,Iron County
0,Wisconsin,United States,Polk County
0,Wisconsin,United States,Portage County
0,Wisconsin,United States,Washington County
0,Wisconsin,United States,Dane County
0,Wisconsin,United States,Walworth County
0,Wisconsin,United States,Clark County
0,Wisconsin,United States,Kenosha County
0,Wisconsin,United States,Sauk County
0,Wisconsin,United States,Waukesha County
0,Wisconsin,United States,Bayfield County
0,Wisconsin,United States,Walworth County
0,Wisconsin,United States,Marathon County
0,Wisconsin,United States,La Crosse County
0,Wisconsin,United States,Bayfield County
0,Wisconsin,United States,Washington County
0,Wisconsin,United States,Milwaukee County
0,Wisconsin,United States,Columbia County
0,Wisconsin,United States,Douglas County
0,Wisconsin,United States,Florence County
0,Wisconsin,United States,Rusk County
0,Wisconsin,United States,Sauk County
0,West Virginia,United States,Tucker County
0,West Virginia,United States,Pocahontas County
0,West Virginia,United States,Raleigh County
0,West Virginia,United States,Tucker County
0,Washington,United States,Lewis County
0,Washington,United States,Columbia County
0,Washington,United States,Chelan County
0,Washington,United States,Douglas County
0,Washington,United States,Okanogan County
0,Washington,United States,Spokane County
0,Washington,United States,King County
0,Washington,United States,Whatcom County
0,Washington,United States,Okanogan County
0,Washington,United States,Pierce County
0,Washington,United States,Kittitas County
0,Washington,United States,Stevens County
0,Virginia,United States,Shenandoah County
0,Virginia,United States,Rockingham County
0,Virginia,United States,Bath County
0,Virginia,United States,Nelson County
0,Vermont,United States,Washington County
0,Vermont,United States,Windham County
0,Vermont,United States,Orleans County
0,Vermont,United States,Windsor County
0,Vermont,United States,Windsor County
0,Vermont,United States,Washington County
0,Vermont,United States,Windsor County
0,Vermont,United States,Chittenden County
0,Vermont,United States,Essex County
0,Vermont,United States,Lamoille County
0,Vermont,United States,Windham County
0,Vermont,United States,Rutland County
0,Vermont,United States,Lamoille County
0,Vermont,United States,Windham County
0,Vermont,United States,Addison County
0,Vermont,United States,Windsor County
0,Vermont,United States,Chittenden County
0,Vermont,United States,Bennington County
0,Utah,United States,Weber County
0,Utah,United States,Cache County
0,Utah,United States,Weber County
0,Utah,United States,Salt Lake County
0,Utah,United States,Summit County
0,Utah,United States,Salt Lake County
0,Utah,United States,Salt Lake County
0,Utah,United States,Salt Lake County
0,Utah,United States,Iron County
0,Utah,United States,Cache County
0,Utah,United States,Summit County
0,Utah,United States,Utah County
0,Utah,United States,Beaver County
0,Tennessee,United States,Sevier County
0,South Dakota,United States,Lawrence County
0,South Dakota,United States,Minnehaha County
0,South Dakota,United States,Lawrence County
0,Rhode Island,United States,Washington County
0,Pennsylvania,United States,Pike County
0,Pennsylvania,United States,Monroe County
0,Pennsylvania,United States,Pike County
0,Pennsylvania,United States,Somerset County
0,Pennsylvania,United States,Bedford County
0,Pennsylvania,United States,York County
0,Pennsylvania,United States,Adams County
0,Pennsylvania,United States,Potter County
0,Pennsylvania,United States,Erie County
0,Pennsylvania,United States,Monroe County
0,Pennsylvania,United States,Lackawanna County
0,Wisconsin,United States,Oneida County
0,Pennsylvania,United States,Schuylkill County
0,Pennsylvania,United States,Susquehanna County
0,Pennsylvania,United States,Carbon County
0,Pennsylvania,United States,Berks County
0,Pennsylvania,United States,Carbon County
0,Pennsylvania,United States,Monroe County
0,Pennsylvania,United States,Berks County
0,Pennsylvania,United States,Centre County
0,Pennsylvania,United States,Carbon County
0,Pennsylvania,United States,Allegheny County
0,Pennsylvania,United States,Franklin County
0,Pennsylvania,United States,Montgomery County
0,Pennsylvania,United States,Lycoming County
0,Oregon,United States,Clackamas County
0,Oregon,United States,Union County
0,Oregon,United States,Wallowa County
0,Oregon,United States,Clackamas County
0,Oregon,United States,Klamath County
0,Oregon,United States,Linn County
0,Oregon,United States,Union County
0,Oregon,United States,Deschutes County
0,Oregon,United States,Hood River County
0,Oregon,United States,Hood River County
0,Oregon,United States,Clackamas County
0,Oregon,United States,Jackson County
0,Ohio,United States,Richland County
0,Ohio,United States,Summit County
0,Ohio,United States,Geauga County
0,Ohio,United States,Logan County
0,Ohio,United States,Richland County
0,North Dakota,United States,Bottineau County
0,North Dakota,United States,Ransom County
0,North Dakota,United States,Morton County
0,North Dakota,United States,Cavalier County
0,North Carolina,United States,Jackson County
0,North Carolina,United States,Watauga County
0,North Carolina,United States,Avery County
0,North Carolina,United States,Avery County
0,North Carolina,United States,Haywood County
0,North Carolina,United States,Madison County
0,North Carolina,United States,Avery County
0,New York,United States,Fulton County
0,New York,United States,Erie County
0,New York,United States,Delaware County
0,New York,United States,Hamilton County
0,New York,United States,Essex County
0,New York,United States,Greene County
0,New York,United States,Cortland County
0,New York,United States,Warren County
0,New York,United States,Orange County
0,New York,United States,Putnam County
0,New York,United States,Delaware County
0,New York,United States,Chautauqua County
0,New York,United States,Chautauqua County
0,New York,United States,Jefferson County
0,New York,United States,Onondaga County
0,New York,United States,Cortland County
0,New York,United States,Orange County
0,New York,United States,Cortland County
0,New York,United States,Wayne County
0,New York,United States,Allegany County
0,New York,United States,Sullivan County
0,New York,United States,Lewis County
0,New York,United States,Ontario County
0,New York,United States,Essex County
0,New York,United States,Greene County
0,New York,United States,Franklin County
0,New York,United States,Warren County
0,New York,United States,Cattaraugus County
0,New York,United States,Cattaraugus County
0,New York,United States,Warren County
0,New York,United States,Onondaga County
0,New York,United States,Sullivan County
0,Massachusetts,United States,Berkshire County
0,New York,United States,Ulster County
0,New York,United States,Ontario County
0,New York,United States,Washington County
0,New York,United States,Oneida County
0,New York,United States,Herkimer County
0,New York,United States,Ulster County
0,New York,United States,Greene County
0,New Mexico,United States,Colfax County
0,New Mexico,United States,Bernalillo County
0,New Mexico,United States,Taos County
0,New Mexico,United States,Lincoln County
0,New Mexico,United States,Santa Fe County
0,New Mexico,United States,Los Alamos County
0,New Mexico,United States,Taos County
0,New Mexico,United States,Taos County
0,New Jersey,United States,Sussex County
0,New Jersey,United States,Bergen County
0,New Jersey,United States,Sussex County
0,New Hampshire,United States,Belknap County
0,New Hampshire,United States,Hillsborough County
0,New Hampshire,United States,Carroll County
0,New Hampshire,United States,Grafton County
0,New Hampshire,United States,Grafton County
0,New Hampshire,United States,Grafton County
0,New Hampshire,United States,Carroll County
0,New Hampshire,United States,Carroll County
0,New Hampshire,United States,Coos County
0,New Hampshire,United States,Merrimack County
0,New Hampshire,United States,Grafton County
0,New Hampshire,United States,Grafton County
0,New Hampshire,United States,Carroll County
0,New Hampshire,United States,Merrimack County
0,New Hampshire,United States,Coos County
0,New Hampshire,United States,Merrimack County
0,Nevada,United States,Washoe County
0,Nevada,United States,Washoe County
0,Nevada,United States,Clark County
0,Montana,United States,Madison County
0,Montana,United States,Missoula County
0,Montana,United States,Flathead County
0,Montana,United States,Carbon County
0,Montana,United States,Meagher County
0,Montana,United States,Granite County
0,Montana,United States,Flathead County
0,Montana,United States,Missoula County
0,Montana,United States,Lincoln County
0,Montana,United States,Beaverhead County
0,Montana,United States,Lewis and Clark County
0,Montana,United States,Teton County
0,Montana,United States,Madison County
0,Idaho,United States,Lemhi County
0,Montana,United States,Gallatin County
0,Missouri,United States,Platte County
0,Missouri,United States,St. Louis County
0,Minnesota,United States,Wabasha County
0,Minnesota,United States,Goodhue County
0,Minnesota,United States,Chisago County
0,Minnesota,United States,Cook County
0,Minnesota,United States,St. Louis County
0,Minnesota,United States,St. Louis County
0,Minnesota,United States,Beltrami County
0,Minnesota,United States,Stearns County
0,Minnesota,United States,Dakota County
0,Minnesota,United States,Blue Earth County
0,Minnesota,United States,St. Louis County
0,Minnesota,United States,Hennepin County
0,Minnesota,United States,Lincoln County
0,Minnesota,United States,Douglas County
0,Minnesota,United States,Goodhue County
0,Minnesota,United States,Washington County
0,Michigan,United States,Gogebic County
0,Michigan,United States,Ottawa County
0,Michigan,United States,Gogebic County
0,Michigan,United States,Delta County
0,Michigan,United States,Grand Traverse County
0,Michigan,United States,Iron County
0,Michigan,United States,Allegan County
0,Michigan,United States,Cass County
0,Michigan,United States,Kent County
0,Michigan,United States,Crawford County
0,Michigan,United States,Wexford County
0,Michigan,United States,Emmet County
0,Michigan,United States,Emmet County
0,Michigan,United States,Emmet County
0,Michigan,United States,Missaukee County
0,Michigan,United States,Clare County
0,Michigan,United States,Dickinson County
0,Michigan,United States,Grand Traverse County
0,Michigan,United States,Saginaw County
0,Michigan,United States,Kent County
0,Michigan,United States,Leelanau County
0,Michigan,United States,Oakland County
0,Michigan,United States,Antrim County
0,Michigan,United States,Van Buren County
0,Michigan,United States,Crawford County
0,Michigan,United States,Marquette County
0,Michigan,United States,Gogebic County
0,Michigan,United States,Charlevoix County
0,Michigan,United States,Gogebic County
0,Michigan,United States,Otsego County
0,Michigan,United States,Charlevoix County
0,Michigan,United States,Oakland County
0,Michigan,United States,Ontonagon County
0,Michigan,United States,Houghton County
0,Michigan,United States,Keweenaw County
0,Michigan,United States,Benzie County
0,Michigan,United States,Livingston County
0,Michigan,United States,Oakland County
0,Michigan,United States,Clare County
0,Michigan,United States,Dickinson County
0,Massachusetts,United States,Berkshire County
0,Massachusetts,United States,Franklin County
0,Massachusetts,United States,Middlesex County
0,Massachusetts,United States,Worcester County
0,Massachusetts,United States,Hampden County
0,Massachusetts,United States,Essex County
0,Massachusetts,United States,Norfolk County
0,Massachusetts,United States,Berkshire County
0,Massachusetts,United States,Worcester County
0,Massachusetts,United States,Berkshire County
0,Massachusetts,United States,Berkshire County
0,Maryland,United States,Garrett County
0,Maine,United States,Franklin County
0,Maine,United States,Oxford County
0,Maine,United States,Franklin County
0,Maine,United States,Androscoggin County
0,Maine,United States,Penobscot County
0,Maine,United States,Somerset County
0,Maine,United States,Knox County
0,Maine,United States,Penobscot County
0,Maine,United States,Oxford County
0,Maine,United States,Aroostook County
0,Maine,United States,Cumberland County
0,Maine,United States,Piscataquis County
0,Maine,United States,Franklin County
0,Maine,United States,Oxford County
0,Iowa,United States,Winneshiek County
0,Iowa,United States,Emmet County
0,Iowa,United States,Poweshiek County
0,Iowa,United States,Pottawattamie County
0,Iowa,United States,Polk County
0,Iowa,United States,Boone County
0,Iowa,United States,Dubuque County
0,Indiana,United States,Orange County
0,Indiana,United States,Porter County
0,Indiana,United States,Dearborn County
0,Illinois,United States,Jo Daviess County
0,Illinois,United States,DuPage County
0,Illinois,United States,Rock Island County
0,Illinois,United States,Cook County
0,Illinois,United States,Kane County
0,Idaho,United States,Bonner County
0,Idaho,United States,Cassia County
0,Idaho,United States,Bannock County
0,Idaho,United States,Shoshone County
0,Idaho,United States,Blaine County
0,Idaho,United States,Shoshone County
0,Idaho,United States,Adams County
0,Idaho,United States,Idaho County
0,Idaho,United States,Camas County
0,Idaho,United States,Jefferson County
0,Idaho,United States,Boise County
0,Idaho,United States,Valley County
0,Idaho,United States,Idaho County
0,Idaho,United States,Twin Falls County
0,Georgia,United States,Rabun County
0,Connecticut,United States,Middlesex County
0,Connecticut,United States,Litchfield County
0,Connecticut,United States,Hartford County
0,Connecticut,United States,Litchfield County
0,Connecticut,United States,Hartford County
0,Colorado,United States,Eagle County
0,Colorado,United States,Routt County
0,Colorado,United States,San Juan County
0,Colorado,United States,Routt County
0,Colorado,United States,Pitkin County
0,Colorado,United States,Pitkin County
0,Colorado,United States,Grand County
0,Colorado,United States,Pitkin County
0,Colorado,United States,Mineral County
0,Colorado,United States,Garfield County
0,Colorado,United States,Eagle County
0,Colorado,United States,Boulder County
0,Colorado,United States,Summit County
0,Colorado,United States,Summit County
0,Colorado,United States,Chaffee County
0,Colorado,United States,Lake County
0,Colorado,United States,Summit County
0,Colorado,United States,Gunnison County
0,Colorado,United States,Clear Creek County
0,Colorado,United States,Grand County
0,Colorado,United States,San Miguel County
0,Colorado,United States,La Plata County
0,Colorado,United States,Summit County
0,Colorado,United States,Mesa County
0,California,United States,Los Angeles County
0,California,United States,Placer County
0,California,United States,Nevada County
0,California,United States,Nevada County
0,California,United States,El Dorado County
0,California,United States,Fresno County
0,California,United States,Kern County
0,California,United States,Nevada County
0,California,United States,Mono County
0,California,United States,Placer County
0,California,United States,Siskiyou County
0,California,United States,Tuolumne County
0,California,United States,Alpine County
0,California,United States,Placer County
0,California,United States,San Bernardino County
0,California,United States,Alpine County
0,California,United States,Placer County
0,California,United States,San Bernardino County
0,California,United States,Mono County
0,California,United States,San Bernardino County
0,Uri,Switzerland,Uri
0,California,United States,Nevada County
0,California,United States,Placer County
0,Nevada,United States,Douglas County
0,California,United States,Placer County
0,California,United States,San Bernardino County
0,California,United States,Mariposa County
0,Arizona,United States,Coconino County
0,Arizona,United States,Apache County
0,Arizona,United States,Pima County
0,Arizona,United States,Coconino County
0,Alaska,United States,Anchorage Municipality
0,Alaska,United States,Juneau
0,Alaska,United States,Chugach
0,Alaska,United States,Anchorage Municipality
0,Alaska,United States,Anchorage Municipality
0,Alabama,United States,DeKalb County
0,British Columbia,Canada,Squamish-Lillooet
0,British Columbia,Canada,Comox Valley
0,British Columbia,Canada,Cariboo
0,British Columbia,Canada,Cariboo
0,Alberta,Canada,Rocky View
0,British Columbia,Canada,Squamish-Lillooet
0,British Columbia,Canada,Columbia-Shuswap
0,British Columbia,Canada,Columbia-Shuswap
0,British Columbia,Canada,Fraser-Fort George
0,British Columbia,Canada,Okanagan-Similkameen
0,British Columbia,Canada,Thompson-Nicola
0,British Columbia,Canada,Squamish-Lillooet
0,British Columbia,Canada,Kootenay Boundary
0,Carinthia,Austria,Villach-Land
0,Carinthia,Austria,Villach-Land
0,Carinthia,Austria,Villach-Land
0,Carinthia,Austria,Spittal an der Drau District
0,Carinthia,Austria,Spittal an der Drau District
0,Carinthia,Austria,Spittal an der Drau District
0,Carinthia,Austria,Wolfsberg District
0,Carinthia,Austria,Spittal an der Drau District
0,Carinthia,Austria,Hermagor District
0,Carinthia,Austria,Völkermarkt District
0,Carinthia,Austria,Feldkirchen District
0,Carinthia,Austria,Feldkirchen District
0,Lower Austria,Austria,Scheibbs District
0,Lower Austria,Austria,Lilienfeld District
0,Lower Austria,Austria,Neunkirchen District
0,Lower Austria,Austria,Scheibbs District
0,Lower Austria,Austria,Neunkirchen District
0,Lower Austria,Austria,Lilienfeld District
0,Salzburg,Austria,St. Johann im Pongau District
0,Salzburg,Austria,St. Johann im Pongau District
0,Salzburg,Austria,Zell am See District
0,Salzburg,Austria,Tamsweg District
0,Salzburg,Austria,St. Johann im Pongau District
0,Salzburg,Austria,Zell am See District
0,Salzburg,Austria,St. Johann im Pongau District
0,Salzburg,Austria,St. Johann im Pongau District
0,Salzburg,Austria,St. Johann im Pongau District
0,Salzburg,Austria,Hallein District
0,Salzburg,Austria,Zell am See District
0,Upper Austria,Austria,Gmunden District
0,Colorado,United States,La Plata County
0,Styria,Austria,Murau District
0,Styria,Austria,Bruck-Mürzzuschlag District
0,Styria,Austria,Liezen District
0,Styria,Austria,Bruck-Mürzzuschlag District
0,Styria,Austria,Liezen District
0,Tyrol,Austria,Kufstein District
0,Vorarlberg,Austria,Bludenz District
0,Tyrol,Austria,Innsbruck-Land District
0,Tyrol,Austria,Innsbruck
0,Tyrol,Austria,Landeck District
0,Tyrol,Austria,Landeck District
0,Tyrol,Austria,Kitzbühel District
0,Tyrol,Austria,East Tyrol
0,Tyrol,Austria,Schwaz District
0,Tyrol,Austria,Imst District
0,Tyrol,Austria,Imst District
0,Tyrol,Austria,East Tyrol
0,Tyrol,Austria,Kitzbühel District
0,Tyrol,Austria,Innsbruck-Land District
0,Tyrol,Austria,Innsbruck-Land District
0,Tyrol,Austria,Kitzbühel District
0,Wyoming,United States,Carbon County
0,Virginia,United States,Shenandoah County
0,Tyrol,Austria,Schwaz District
0,Tyrol,Austria,Schwaz District
0,Upper Austria,Austria,Gmunden District
0,Upper Austria,Austria,Gmunden District
0,Salzburg,Austria,Hallein District
0,Styria,Austria,Liezen District
0,Upper Austria,Austria,Gmunden District
0,Upper Austria,Austria,Kirchdorf an der Krems District
0,Upper Austria,Austria,Rohrbach District
0,Vienna,Austria,Vienna
0,New York,United States,Warren County
0,Newfoundland and Labrador,Canada,
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Alpes-de-Haute-Provence
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Provence-Alpes-Côte d'Azur,France,Alpes-Maritimes
0,Auvergne-Rhône-Alpes,France,Drôme
0,Auvergne-Rhône-Alpes,France,Drôme
0,Auvergne-Rhône-Alpes,France,Drôme
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Drôme
0,Auvergne-Rhône-Alpes,France,Drôme
0,Auvergne-Rhône-Alpes,France,Drôme
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Provence-Alpes-Côte d'Azur,France,Hautes-Alpes
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Wisconsin,United States,Douglas County
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Isere
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Colorado,United States,Gunnison County
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Hokkaido,Japan,Abuta District
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Pennsylvania,United States,Fayette County
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Vermont,United States,Rutland County
0,England,United Kingdom,Northumberland
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,New Hampshire,United States,Cheshire County
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Savoie
0,Auvergne-Rhône-Alpes,France,Haute-Savoie
0,Auvergne-Rhône-Alpes,France,Haute-Savoie
0,Colorado,United States,Grand County
0,Auvergne-Rhône-Alpes,France,Haute-Savoie
