,actonId,beginDate,countyName,elevation,endDate,fipsCountryCd,fipsCountyCd,fipsStateNumber,huc,hud,latitude,longitude,name,shefId,stationDataTimeZone,stationTriplet
0,,1930-04-01 00:00:00,Modoc,6190.00,2100-01-01 00:00:00,US,049,06,180200021403,18020002,41.23483,-120.79467,Adin Mountains,ADMC1,,20H08:CA:SNOW
0,20H13S,1983-10-01 00:00:00,Modoc,6190.00,2100-01-01 00:00:00,US,049,06,180200021403,18020002,41.23583,-120.79192,Adin Mtn,ADMC1,-8.0,301:CA:SNTL
0,,1949-11-01 00:00:00,Kiowa,4150.00,2100-01-01 00:00:00,US,061,08,110200090303,11020009,38.26609,-103.24373,Adobe Creek Reservoir,,,07007010:CO:BOR
0,,1909-10-01 00:00:00,Lincoln,6210.00,2100-01-01 00:00:00,US,023,56,170401050205,17040105,42.73333,-110.93333,Afton,AFOW4,,0027:WY:COOP
0,,1936-01-01 00:00:00,Lincoln,6240.00,1989-06-01 00:00:00,US,023,56,170401050205,17040105,42.73333,-110.93333,Afton R.S.,,,10G04:WY:SNOW
0,,1930-04-01 00:00:00,Madera,9450.00,2100-01-01 00:00:00,US,039,06,180400060401,,37.72400,-119.14300,Agnew Pass,,,AGP:CA:SNOW
0,,1989-11-24 00:00:00,Madera,9450.00,2100-01-01 00:00:00,US,039,06,180400060401,,37.72400,-119.14300,Agnew Pass,,,AGP:CA:MSNT
0,12M26S,1994-10-01 00:00:00,Kane,8900.00,2100-01-01 00:00:00,US,025,49,160300020301,16030002,37.52217,-112.27118,Agua Canyon,AGUU1,-8.0,907:UT:SNTL
0,,1903-10-31 00:00:00,Yakima,940.00,2100-01-01 00:00:00,US,077,53,170300030105,17030003,46.53596,-120.47340,Ahtanum Ck at Union Gap,,,12502500:WA:USGS
0,,1941-01-01 00:00:00,Yakima,3100.00,2013-05-01 00:00:00,US,077,53,170300030101,17030003,46.51551,-121.02062,Ahtanum R.S.,AHSW1,,21C11:WA:SNOW
0,,1984-10-31 00:00:00,UNKNOWN,3481.00,2100-01-01 00:00:00,US,999,96,,,56.43333,-125.73333,Aiken Lake,,,4A30P:BC:MSNT
0,,1961-02-01 00:00:00,King,1800.00,1996-12-31 00:00:00,US,033,53,171100130104,17110013,47.21667,-121.45000,Airstrip,,,21B24:WA:SNOW
0,,1980-02-01 00:00:00,UNKNOWN,5905.00,2020-01-01 00:00:00,CA,999,95,090400020404,22010001,49.02728,-114.05294,Akamina Pass,,,14Z07:AB:SNOW
0,,1994-01-01 00:00:00,UNKNOWN,5905.00,2020-01-01 00:00:00,CA,999,95,090400020404,22010001,49.02728,-114.05294,Akamina Pass Pillow,AKAQ1,,14Z07S:AB:SNOW
0,,1971-02-01 00:00:00,Mora,9320.00,2018-05-01 00:00:00,US,033,35,130201010902,13020101,36.06667,-105.45000,Alamitos,MORN5,,05N12:NM:SNOW
0,,1914-05-01 00:00:00,Conejos,8600.00,2100-01-01 00:00:00,US,021,08,130100020304,13010002,37.37473,-106.33476,Alamosa Ck ab Terrace Reservoir,,,08236000:CO:USGS
0,,1948-01-01 00:00:00,Alamosa,7540.00,2100-01-01 00:00:00,US,003,08,130100020710,13010002,37.45000,-105.86666,Alamosa WSO AP,ALSC2,,0130:CO:COOP
0,,1949-02-01 00:00:00,Albany,9120.00,2100-01-01 00:00:00,US,001,56,101800100501,10180010,41.18333,-106.16667,Albany,ALSW4,,06H11:WY:SNOW
0,,1948-08-01 00:00:00,Laramie,5350.00,2009-07-01 00:00:00,US,021,56,101900160301,10190016,41.41666,-104.10000,Albin,,,0080:WY:COOP
0,,1945-07-01 00:00:00,Carter,3310.00,2100-01-01 00:00:00,US,011,30,101102010507,10110201,45.20000,-104.28333,Albion 1 N,ALBM8,,0088:MT:COOP
0,11D28S,1996-09-01 00:00:00,Madison,8300.00,2100-01-01 00:00:00,US,057,30,100200050701,10020005,45.59723,-111.95902,Albro Lake,ABRM8,-8.0,916:MT:SNTL
0,,1897-01-01 00:00:00,Bernalillo,5310.00,2100-01-01 00:00:00,US,001,35,130202030304,13020203,35.05000,-106.61666,Albuquerque WSFO Airpor,ABQN5,,0234:NM:COOP
0,,1953-01-01 00:00:00,Rio Arriba,5680.00,2100-01-01 00:00:00,US,039,35,130201011107,13020101,36.10000,-106.06666,Alcalde,ALCN5,,0245:NM:COOP
0,SC2172,2010-03-10 00:00:00,Rio Arriba,5693.00,2100-01-01 00:00:00,US,039,35,130201011107,13020101,36.09080,-106.05668,Alcalde,ALDN5,-7.0,2172:NM:SCAN
0,,1938-02-01 00:00:00,Natrona,5447.00,2100-01-01 00:00:00,US,025,56,101800070201,10180007,42.54837,-106.72090,Alcova,,,06641500:WY:BOR
0,,1956-10-01 00:00:00,Madison,5800.00,2020-10-01 00:00:00,US,057,30,100200030306,10020003,45.06666,-112.06666,Alder 17 S,ALSM8,,0110:MT:COOP
0,,1988-02-01 00:00:00,Baker,5860.00,1997-10-01 00:00:00,US,001,41,170502030105,17050203,44.76667,-118.05000,Alder Creek,,,18E36:OR:SNOW
0,,1937-02-01 00:00:00,Delta,10160.00,2012-03-01 00:00:00,US,029,08,140200050106,14020005,39.03333,-107.96667,Alexander Lake,,,07K03:CO:SNOW
0,50M01S,2014-08-28 00:00:00,Matanuska-Susitna,160.00,2100-01-01 00:00:00,US,170,02,190205051106,,61.74967,-150.88967,Alexander Lake,ALXA2,-9.0,1267:AK:SNTL
0,,1965-02-01 00:00:00,Matanuska-Susitna,160.00,2100-01-01 00:00:00,US,170,02,190205051106,19020505,61.74967,-150.88967,Alexander Lake,ALXA2,,50M01:AK:SNOW
0,SC2138,2007-09-17 00:00:00,San Juan,6445.00,2100-01-01 00:00:00,US,037,49,140802030601,14080203,37.67455,-109.36429,Alkali Mesa,ALKU1,-7.0,2138:UT:SCAN
0,SC2076,2003-06-03 00:00:00,Giles,705.00,2100-01-01 00:00:00,US,055,47,060300030905,06030003,35.07470,-86.89380,Allen Farms,ALFT1,-6.0,2076:TN:SCAN
0,,1961-02-01 00:00:00,Caribou,6496.00,2100-01-01 00:00:00,US,029,16,170402070208,17040207,42.78735,-111.43125,Allen Ranch,ALLI1,,11G35:ID:SNOW
0,,1985-10-01 00:00:00,Meagher,5600.00,1988-10-31 00:00:00,US,059,30,100700020304,10070002,45.31667,-110.56667,"Allen, Fa Ranch",,,MD32:MT:MPRC
0,,1944-11-01 00:00:00,Boulder,8450.00,2012-09-30 00:00:00,US,013,08,101900050201,10190005,40.20000,-105.53333,Allenspark Lodge,,,0183:CO:COOP
0,,1984-03-01 00:00:00,UNKNOWN,6496.00,2100-01-01 00:00:00,CA,999,95,090400030000,22010103,49.73333,-114.60000,Allison Pass,,,14Z03:AB:SNOW
0,,1965-10-01 00:00:00,El Dorado,7600.00,2100-01-01 00:00:00,US,017,06,180201290204,,38.80500,-120.21500,Alpha,,,ALP:CA:MSNT
0,,1965-04-01 00:00:00,El Dorado,7600.00,2100-01-01 00:00:00,US,017,06,180201290302,,38.80400,-120.21600,Alpha,,,APH:CA:SNOW
0,,1904-10-01 00:00:00,Apache,8050.00,2100-01-01 00:00:00,US,001,04,150400040301,15040004,33.85000,-109.13333,Alpine,ALPA3,,0159:AZ:COOP
0,,1969-03-01 00:00:00,Snohomish,3500.00,2100-01-01 00:00:00,US,061,53,171100100501,17110009,47.77997,-121.69890,Alpine Meadow,APSW1,,21B48:WA:SNOW
0,21B48S,1994-09-01 00:00:00,King,3500.00,2100-01-01 00:00:00,US,033,53,171100100501,17110010,47.77957,-121.69847,Alpine Meadows,APSW1,-8.0,908:WA:SNTL
0,,1939-10-01 00:00:00,Lincoln,48.00,2100-01-01 00:00:00,US,041,41,171002050403,17100205,44.38333,-123.81667,Alsea nr Tidewater,,,14306500:OR:USGS
0,,1974-01-01 00:00:00,UNKNOWN,1443.00,1983-10-01 00:00:00,CA,999,97,190104040000,19010402,60.11667,-137.96667,Alsek River abv Bates River,,,158AB001:YK:USGS
0,,1909-08-01 00:00:00,Teton,6430.00,2100-01-01 00:00:00,US,039,56,170402040205,17040204,43.78333,-111.03333,Alta 1 NW,ALTW4,,0140:WY:COOP
0,,1984-01-01 00:00:00,Salt Lake,8800.00,2100-01-01 00:00:00,US,035,49,160202040202,16020204,40.59117,-111.63794,Alta Central,ATCU1,,11J61:UT:SNOW
0,23G16S,2013-06-25 00:00:00,Del Norte,4970.00,2100-01-01 00:00:00,US,015,06,171003110302,,41.99617,-123.54700,Althouse,ABZO3,-8.0,1239:CA:SNTLT
0,,1937-02-01 00:00:00,Josephine,4570.00,2012-01-01 00:00:00,US,033,41,171003110100,17100311,42.00751,-123.54834,Althouse #2,AAZO3,,23G04:OR:SNOW
0,,1982-02-01 00:00:00,Del Norte,4920.00,2014-01-01 00:00:00,US,015,06,171003110302,17100311,41.99651,-123.54767,Althouse #3,ABZO3,,23G16:CA:SNOW
0,,2013-10-01 00:00:00,Del Norte,4970.00,2100-01-01 00:00:00,US,015,06,171003110302,,41.99617,-123.54700,Althouse #3 Rev,,,23G17:CA:SNOW
0,,1905-05-01 00:00:00,Modoc,4400.00,2020-10-01 00:00:00,US,049,06,180200020901,18020002,41.50000,-120.55000,Alturas Ranger Station,ALTC1,,0161:CA:COOP
0,,1946-10-01 00:00:00,Larimer,8199.00,2100-01-01 00:00:00,US,069,08,101900060203,10190006,40.32780,-105.57740,Alva B. Adams Tunnel at East Portal,,,09013000:CO:USGS
0,,1960-03-01 00:00:00,Granite,6480.00,2016-04-01 00:00:00,US,039,30,170102021210,17010205,46.50792,-113.87424,Ambrose,AMBM8,,13C16:MT:SNOW
0,15J17S,2011-12-23 00:00:00,Elko,7545.00,2100-01-01 00:00:00,US,007,32,160401030901,16040103,40.53373,-115.45768,American Beauty,AMBN2,-8.0,1198:NV:SNTLT
0,,1964-03-01 00:00:00,Elko,7545.00,2100-01-01 00:00:00,US,007,32,160401030901,16040103,40.53373,-115.45677,American Beauty - Aerial Marker,AMBN2,,15J17:NV:SNOW
0,41P07S,2011-08-04 00:00:00,Southeast Fairbanks,1050.00,2100-01-01 00:00:00,US,240,02,190705050504,19040401,64.78969,-141.23376,American Creek,AMCA2,-9.0,1189:AK:SNTL
0,,1892-12-01 00:00:00,Power,4320.00,2020-10-01 00:00:00,US,077,16,170402061009,17040206,42.78333,-112.86666,American Falls 1 SW,AMRI1,,0227:ID:COOP
0,,1925-10-01 00:00:00,Power,4356.00,2100-01-01 00:00:00,US,077,16,170402061009,17040206,42.78003,-112.87597,American Falls Reservoir,,,13076500:ID:BOR
0,,1927-01-01 00:00:00,Utah,5950.00,2100-01-01 00:00:00,US,049,49,160202010802,16020201,40.44773,-111.68215,American Fk ab Upper Powerplant,,,10164500:UT:USGS
0,,1946-01-01 00:00:00,Wheatland,4171.00,1967-10-01 00:00:00,US,107,30,100402011003,10040201,46.40000,-109.76667,American Fk nr Harlowton,,,06122000:MT:USGS
0,,1904-10-01 00:00:00,Sacramento,71.53,2100-01-01 00:00:00,US,067,06,180201110201,18020111,38.63546,-121.22773,American R A Fair Oaks CA,,,11446500:CA:USGS
0,,1904-10-31 00:00:00,Sacramento,71.00,2100-01-01 00:00:00,US,067,06,180201110201,18020111,38.63333,-121.21666,American R A Fair Oaks Ca NWS,,,1144650N:CA:USGS
0,,1909-04-25 00:00:00,Yakima,2700.00,2100-01-01 00:00:00,US,077,53,170300020107,17030002,46.97762,-121.16870,American R nr Nile,,,12488500:WA:USGS
0,SC2031,2001-09-19 00:00:00,Boone,1073.00,2100-01-01 00:00:00,US,015,19,070801050307,07080105,42.01667,-93.73333,Ames,AMMI4,-6.0,2031:IA:SCAN
0,,1894-06-01 00:00:00,Deer Lodge,5280.00,2020-10-01 00:00:00,US,023,30,170102010305,17010201,46.13333,-112.95000,Anaconda,ANAM8,,0199:MT:COOP
0,,1965-06-17 00:00:00,Kenai Peninsula,169.00,2100-01-01 00:00:00,US,122,02,190203010706,19020301,59.74722,-151.75306,Anchor R nr Anchor Point AK,,,15239900:AK:USGS
0,51K05S,1980-10-01 00:00:00,Kenai Peninsula,1653.00,2100-01-01 00:00:00,US,122,02,190203010701,19020301,59.85972,-151.31500,Anchor River Divide,ARDA2,-9.0,1062:AK:SNTL
0,,1981-02-01 00:00:00,Kenai Peninsula,1653.00,2013-04-01 00:00:00,US,122,02,190203010701,19020301,59.86088,-151.31478,Anchor River Divide,ARDA2,,51K05:AK:SNOW
0,,1980-10-01 00:00:00,Kenai Peninsula,1600.00,1993-10-01 00:00:00,US,122,02,190203010701,19020301,59.86667,-151.31667,Anchor River Divide Old,,,201:AK:MSNT
0,49M22S,2004-10-01 00:00:00,Anchorage,2080.00,2100-01-01 00:00:00,US,020,02,190204010601,19020401,61.11483,-149.66683,Anchorage Hillside,HILA2,-9.0,1070:AK:SNTL
0,,1982-02-01 00:00:00,Anchorage,2080.00,2012-05-01 00:00:00,US,020,02,190204010601,19020401,61.11315,-149.68345,Anchorage Hillside,HILA2,,49M22:AK:SNOW
0,,1952-01-01 00:00:00,Anchorage,110.00,2100-01-01 00:00:00,US,020,02,190204010808,19020401,61.16666,-150.01666,Anchorage Wscmo AP,ANCA2,,0280:AK:COOP
0,,1942-01-01 00:00:00,Elmore,3880.00,2020-10-01 00:00:00,US,039,16,170501130901,17050113,43.35000,-115.46666,Anderson Dam,ARAI1,,0282:ID:COOP
0,,1946-01-01 00:00:00,Elmore,4196.00,2100-01-01 00:00:00,US,039,16,170501130805,17050113,43.35832,-115.44808,Anderson Ranch Reservoir,,,13190000:ID:BOR
0,,1929-01-01 00:00:00,Wallowa,7480.00,1978-12-31 00:00:00,US,063,41,170601050101,17060105,45.21667,-117.20000,Aneroid Lake #1 (Disc),,,17D01:OR:SNOW
0,,1942-02-01 00:00:00,Wallowa,7300.00,2002-06-01 00:00:00,US,063,41,170601050101,17060105,45.21667,-117.20000,Aneroid Lake #2,ANRO3,,17D02:OR:SNOW
0,17D02S,1980-10-01 00:00:00,Wallowa,7400.00,2100-01-01 00:00:00,US,063,41,170601050101,17060105,45.21328,-117.19258,Aneroid Lake #2,ANRO3,-8.0,302:OR:SNTL
0,,1950-10-01 00:00:00,Fall River,3180.00,2100-01-01 00:00:00,US,047,46,101201060509,10120106,43.34297,-103.43827,Angostura,,,06401000:SD:BOR
0,,1948-04-01 00:00:00,Fall River,3140.00,2012-09-30 00:00:00,US,047,46,101201090301,10120109,43.35000,-103.43333,Angostura Dam,,,0217:SD:COOP
0,SC2065,2002-07-21 00:00:00,Bethel,80.00,2100-01-01 00:00:00,US,050,02,190305020504,19030501,61.58337,-159.57708,Aniak,AMBA2,-9.0,2065:AK:SNTL
0,,2012-12-01 00:00:00,Bethel,80.00,2100-01-01 00:00:00,US,050,02,190305020504,,61.58337,-159.57708,Aniak,,,59M02:AK:SNOW
0,,1897-10-01 00:00:00,La Plata,6502.00,2100-01-01 00:00:00,US,067,08,140801040604,14080104,37.27917,-107.88034,Animas R at Durango,,,09361500:CO:USGS
0,,2008-04-01 00:00:00,La Plata,6460.00,2100-01-01 00:00:00,US,067,08,140801040901,14080104,37.25862,-107.87765,Animas-La Plata Project Diversion,,,9362500:CO:USGS
0,,1941-01-01 00:00:00,Prince of Wales-Hyder,110.00,2020-10-01 00:00:00,US,198,02,190101020902,19010102,55.03333,-131.56666,Annette WB Airport,ANNA2,,0352:AK:COOP
0,,1929-02-01 00:00:00,Klamath,6020.00,2008-01-01 00:00:00,US,035,41,180102030101,18010201,42.87120,-122.16815,Annie Spring Rev,ASZO3,,22G06:OR:SNOW
0,22G06S,2000-09-01 00:00:00,Klamath,6010.00,2100-01-01 00:00:00,US,035,41,180102030101,18010201,42.87007,-122.16518,Annie Springs,ANSO3,-8.0,1000:OR:SNTL
0,,1925-10-01 00:00:00,Malheur,4318.00,1976-01-01 00:00:00,US,045,41,170501080504,17050108,42.90659,-117.23666,Antelope,,,13179100:OR:BOR
0,,1963-02-01 00:00:00,Plumas,5650.00,2100-01-01 00:00:00,US,063,06,180201220206,,40.15500,-120.54200,Antelope Ridge,,,ANR:CA:SNOW
0,,1959-02-01 00:00:00,Owyhee,6180.00,1992-12-31 00:00:00,US,073,16,170501040901,17050103,42.65000,-116.43333,Antelope Ridge (Disc),,,16G06:ID:SNOW
0,,1939-02-01 00:00:00,Amador,4350.00,2100-01-01 00:00:00,US,005,06,180400120405,,38.50300,-120.46700,Antelope Springs,,,ATS:CA:SNOW
0,,1949-02-01 00:00:00,Park,9300.00,2100-01-01 00:00:00,US,093,08,101900010204,10190001,38.91667,-105.96667,Antero,ATRC2,,05L05:CO:SNOW
0,,1961-01-01 00:00:00,Park,8920.00,2100-01-01 00:00:00,US,093,08,101900010210,10190001,39.00000,-105.88333,Antero Reservoir,ANTC2,,0263:CO:COOP
0,,1983-02-01 00:00:00,Park,9000.00,2100-01-01 00:00:00,US,093,08,101900010210,10190001,39.00000,-105.88333,Antero Reservoir,ANTC2,,05L06:CO:SNOW
0,,1952-09-01 00:00:00,Park,8950.00,2100-01-01 00:00:00,US,093,08,101900010205,10190001,38.99371,-105.89598,Antero Reservoir,,,06016010:CO:BOR
0,,1962-10-01 00:00:00,Union,4200.00,1980-01-01 00:00:00,US,061,41,170502030504,17050203,45.04445,-118.12361,Anthony Ck bl North Fk,,,13282400:OR:USGS
0,18E31S,2013-07-18 00:00:00,Baker,7160.00,2100-01-01 00:00:00,US,001,41,170502030503,,44.95910,-118.22668,Anthony Lake,ANZO3,-8.0,1245:OR:SNTLT
0,,1936-04-01 00:00:00,Baker,7160.00,2008-01-01 00:00:00,US,001,41,170502030503,17050203,44.95910,-118.22668,Anthony Lake,ANZO3,,18E01:OR:SNOW
0,,2008-01-01 00:00:00,Baker,7160.00,2100-01-01 00:00:00,US,001,41,170502030503,17050203,44.95910,-118.22668,Anthony Lake (Rev),,,18E31:OR:SNOW
0,,1944-02-01 00:00:00,Tehama,6200.00,2100-01-01 00:00:00,US,103,06,180201150301,,39.84200,-122.95000,Anthony Peak,,,ATP:CA:SNOW
0,,1966-02-01 00:00:00,Baker,7800.00,1967-12-31 00:00:00,US,001,41,170502030404,17050203,44.83333,-118.11667,Anthony Ski Hill (Disc),,,18E33:OR:SNOW
0,,1946-10-01 00:00:00,Garfield,7000.00,1976-10-01 00:00:00,US,017,49,160300020503,16030002,38.10000,-111.86667,"Antimony Ck nr Antimony, UT",,,10185000:UT:USGS
0,,1982-03-01 00:00:00,Yukon-Koyukuk,1150.00,1990-12-31 00:00:00,US,290,02,190903010902,19040801,63.58333,-160.13333,Anvik River (Discontinued),,,60O03:AK:SNOW
0,,1962-02-01 00:00:00,Huerfano,10000.00,1990-12-31 00:00:00,US,055,08,110200060406,11020007,37.33333,-105.06667,Apishapa,APSC2,,05M07:CO:SNOW
0,05M07S,1979-10-01 00:00:00,Huerfano,10027.00,2100-01-01 00:00:00,US,055,08,110200060406,11020007,37.33067,-105.06766,Apishapa,APSC2,-8.0,303:CO:SNTL
0,,1980-10-01 00:00:00,Jackson,1763.00,2100-01-01 00:00:00,US,029,41,171003090109,17100309,42.05490,-123.11564,Applegate,,,14361900:OR:BOR
0,,1938-10-01 00:00:00,Jackson,1748.00,2100-01-01 00:00:00,US,029,41,171003090201,17100309,42.06374,-123.11144,Applegate Lake Inflow,,,14362000:OR:USGS
0,06J08S,2002-08-01 00:00:00,Grand,10976.00,2100-01-01 00:00:00,US,049,08,140100010604,14010001,40.35098,-106.38141,Arapaho Ridge,ARPC2,-8.0,1030:CO:SNTL
0,,1985-01-01 00:00:00,Apache,7680.00,2014-05-01 00:00:00,US,001,04,150200110102,15020011,35.70000,-109.20000,Arbabs Forest,XAFA3,,09P02:AZ:SNOW
0,,1929-02-01 00:00:00,Morrow,5400.00,2007-01-01 00:00:00,US,049,41,170702020604,17070202,45.18333,-119.25000,Arbuckle Mountain,ARBO3,,19D02:OR:SNOW
0,19D02S,1978-10-01 00:00:00,Morrow,5770.00,2100-01-01 00:00:00,US,049,41,170702020604,17070202,45.19085,-119.25392,Arbuckle Mtn,ARBO3,-8.0,304:OR:SNTL
0,,1961-04-01 00:00:00,Gallatin,7350.00,2100-01-01 00:00:00,US,031,30,100200081001,10020008,45.42775,-110.96027,Arch Falls,ARCM8,,10D14:MT:SNOW
0,,1982-02-01 00:00:00,Matanuska-Susitna,2200.00,2100-01-01 00:00:00,US,170,02,190205051201,19020505,61.79167,-149.20000,Archangel Road,ARLA2,,49M25:AK:SNOW
0,,1914-04-01 00:00:00,Butte,5330.00,2100-01-01 00:00:00,US,023,16,170402180803,17040218,43.60000,-113.33333,Arco 3 SW,AROI1,,0375:ID:COOP
0,,1950-01-01 00:00:00,UNKNOWN,0.00,2100-01-01 00:00:00,US,999,99,,,0.00000,0.00000,Arctic Oscillation,,,AO:NA:CLMIND
0,,1964-02-01 00:00:00,Anchorage,3000.00,2100-01-01 00:00:00,US,020,02,190204010402,19020401,61.25000,-149.51667,Arctic Ski Bowl,ARKA2,,49M05:AK:SNOW
0,,1964-02-01 00:00:00,Anchorage,500.00,2100-01-01 00:00:00,US,020,02,190204010404,19020401,61.22917,-149.64167,Arctic Valley 1,AVOA2,,49M01:AK:SNOW
0,,1964-02-01 00:00:00,Anchorage,1000.00,2100-01-01 00:00:00,US,020,02,190204010404,19020401,61.23333,-149.60833,Arctic Valley 2,AVTA2,,49M02:AK:SNOW
0,,1964-02-01 00:00:00,Anchorage,1450.00,2100-01-01 00:00:00,US,020,02,190204010402,19020401,61.23000,-149.58333,Arctic Valley 3,AVRA2,,49M03:AK:SNOW
0,,1964-02-01 00:00:00,Anchorage,2030.00,2100-01-01 00:00:00,US,020,02,190204010402,19020401,61.23750,-149.55500,Arctic Valley 4,AVFA2,,49M04:AK:SNOW
0,,1964-03-01 00:00:00,Yukon-Koyukuk,2050.00,2016-04-01 00:00:00,US,290,02,190802021307,19040302,68.11667,-145.60000,Arctic Village,,,45T01:AK:SNOW
0,,1919-01-01 00:00:00,Teton,6820.00,1993-06-01 00:00:00,US,039,56,170401010405,17040101,43.98333,-110.65000,Arizona,,,10F01:WY:SNOW
0,,1959-05-01 00:00:00,Pueblo,4740.00,2100-01-01 00:00:00,US,101,08,110200020905,11020002,38.27167,-104.71803,Arkansas R ab Pueblo,,,07099400:CO:USGS
0,,1909-10-01 00:00:00,Chaffee,7050.00,2100-01-01 00:00:00,US,015,08,110200010709,11020001,38.54583,-106.01057,Arkansas R at Salida,,,07091500:CO:USGS
0,,1894-10-01 00:00:00,Pueblo,4690.00,1997-09-30 00:00:00,US,101,08,110200020905,11020002,38.26667,-104.65000,Arkansas R nr Pueblo,,,07099500:CO:USGS
0,,1961-01-01 00:00:00,Fremont,6883.00,2000-09-30 00:00:00,US,043,08,110200010902,11020001,38.50000,-105.93333,Arkansas R nr Wellsville,,,07093700:CO:USGS
0,,1938-02-01 00:00:00,Grand,9680.00,2015-05-01 00:00:00,US,049,08,140100010202,14010001,39.91667,-105.76667,Arrow,AROC2,,05K06:CO:SNOW
0,05K06S,1978-10-01 00:00:00,Grand,9680.00,2013-10-01 00:00:00,US,049,08,140100010202,14010001,39.91550,-105.76083,Arrow,AROC2,-8.0,305:CO:SNTL
0,,1850-01-01 00:00:00,Grand,9668.00,2100-01-01 00:00:00,US,049,08,140100010202,,39.91562,-105.76079,Arrow #2,,,05K12:CO:SNOW
0,,1978-03-01 00:00:00,UNKNOWN,5315.00,2001-05-01 00:00:00,CA,999,96,170101040904,17010104,49.25000,-116.50000,Arrow Creek,,,2D11:BC:SNOW
0,,1986-03-01 00:00:00,UNKNOWN,3675.00,2016-06-01 00:00:00,CA,999,97,190702,19040106,63.70000,-131.16667,Arrowhead Lake,ARRQ9,,31O01:YK:SNOW
0,,1911-12-01 00:00:00,Boise,3280.00,2020-10-01 00:00:00,US,015,16,170501120602,17050112,43.60000,-115.91666,Arrowrock Dam,ARKI1,,0448:ID:COOP
0,,1917-10-01 00:00:00,Elmore,3219.00,2100-01-01 00:00:00,US,039,16,170501120602,17050113,43.59394,-115.92234,Arrowrock Reservoir,,,13194000:ID:BOR
0,,1910-09-01 00:00:00,Elko,6300.00,2100-01-01 00:00:00,US,007,32,160600071102,16060007,40.78333,-115.18333,Arthur 4 NW,ARTN2,,0438:NV:COOP
0,,1976-01-01 00:00:00,Carson City,5080.00,2100-01-01 00:00:00,US,510,32,160502010505,16050201,39.17630,-119.80574,Ash Canyon Ck nr Carson City,,,10311200:NV:USGS
0,,1945-04-01 00:00:00,Siskiyou,5000.00,2100-01-01 00:00:00,US,093,06,180200040102,,41.40000,-122.05000,Ash Creek,,,ASH:CA:SNOW
0,,1948-01-01 00:00:00,Coconino,5330.00,2012-09-30 00:00:00,US,005,04,150602010407,15060201,35.28333,-112.46666,Ash Fork 5 N,,,0490:AZ:COOP
